Attaching 2 probes...
start: 186573363314582
domain: WRITE, depth: 1, timestamp: 186975808010941
domain: WRITE, depth: 2, timestamp: 186975912011758
domain: WRITE, depth: 1, timestamp: 186976432013334
domain: WRITE, depth: 2, timestamp: 186976536011608
domain: WRITE, depth: 1, timestamp: 186976952010669
domain: WRITE, depth: 2, timestamp: 186977056012154
domain: WRITE, depth: 1, timestamp: 186977472012837
domain: WRITE, depth: 2, timestamp: 186977576009781
domain: WRITE, depth: 1, timestamp: 186977784011639
domain: WRITE, depth: 2, timestamp: 186977888010263
domain: WRITE, depth: 1, timestamp: 186978096009357
domain: WRITE, depth: 2, timestamp: 186978200007554
domain: WRITE, depth: 1, timestamp: 186978408012481
domain: WRITE, depth: 2, timestamp: 186978512012371
domain: WRITE, depth: 1, timestamp: 186978824011663
domain: WRITE, depth: 2, timestamp: 186978928008239
domain: WRITE, depth: 1, timestamp: 186979136008676
domain: WRITE, depth: 2, timestamp: 186979240007530
domain: WRITE, depth: 1, timestamp: 186979864009603
domain: WRITE, depth: 2, timestamp: 186979972008220
domain: WRITE, depth: 1, timestamp: 186981012010053
domain: WRITE, depth: 2, timestamp: 186981116008947
domain: WRITE, depth: 1, timestamp: 186981324008685
domain: WRITE, depth: 2, timestamp: 186981432007801
domain: WRITE, depth: 1, timestamp: 186982060011225
domain: WRITE, depth: 2, timestamp: 186982164011691
domain: WRITE, depth: 1, timestamp: 186982476009132
domain: WRITE, depth: 2, timestamp: 186982580008904
domain: WRITE, depth: 1, timestamp: 186982892011754
domain: WRITE, depth: 2, timestamp: 186982996011943
domain: WRITE, depth: 1, timestamp: 186984140010062
domain: WRITE, depth: 2, timestamp: 186984244009753
domain: WRITE, depth: 1, timestamp: 186985188009390
domain: WRITE, depth: 2, timestamp: 186985292010738
domain: WRITE, depth: 1, timestamp: 186985500011053
domain: WRITE, depth: 2, timestamp: 186985604011681
domain: WRITE, depth: 1, timestamp: 186986852012415
domain: WRITE, depth: 2, timestamp: 186986956011738
domain: WRITE, depth: 1, timestamp: 186987164010540
domain: WRITE, depth: 2, timestamp: 186987268012054
domain: WRITE, depth: 1, timestamp: 186987684012297
domain: WRITE, depth: 2, timestamp: 186987788009105
domain: WRITE, depth: 1, timestamp: 186989140008906
domain: WRITE, depth: 2, timestamp: 186989244011660
domain: WRITE, depth: 1, timestamp: 186989452011326
domain: WRITE, depth: 2, timestamp: 186989556009446
domain: WRITE, depth: 1, timestamp: 186989764012373
domain: WRITE, depth: 2, timestamp: 186989868008832
domain: WRITE, depth: 1, timestamp: 186990396011473
domain: WRITE, depth: 2, timestamp: 186990500012496
domain: WRITE, depth: 1, timestamp: 186990708010842
domain: WRITE, depth: 2, timestamp: 186990812008873
domain: WRITE, depth: 1, timestamp: 186991020009689
domain: WRITE, depth: 2, timestamp: 186991124008161
domain: WRITE, depth: 1, timestamp: 186991332009184
domain: WRITE, depth: 2, timestamp: 186991436008823
domain: WRITE, depth: 1, timestamp: 186991644008307
domain: WRITE, depth: 2, timestamp: 186991748008404
domain: WRITE, depth: 1, timestamp: 186991960008665
domain: WRITE, depth: 2, timestamp: 186992064008207
domain: WRITE, depth: 1, timestamp: 186992584011158
domain: WRITE, depth: 2, timestamp: 186992688011430
