Attaching 2 probes...
start: 209462336313463
domain: DISCARD, depth: 16, timestamp: 209478700013885
domain: WRITE, depth: 96, timestamp: 209478804014207
domain: WRITE, depth: 128, timestamp: 209478912015201
domain: WRITE, depth: 96, timestamp: 209479016013791
domain: WRITE, depth: 72, timestamp: 209479120012344
domain: WRITE, depth: 54, timestamp: 209479224013498
domain: WRITE, depth: 40, timestamp: 209479328014580
domain: WRITE, depth: 30, timestamp: 209479432010189
domain: WRITE, depth: 22, timestamp: 209479536010239
domain: WRITE, depth: 16, timestamp: 209479640011380
domain: WRITE, depth: 12, timestamp: 209479744009577
domain: WRITE, depth: 9, timestamp: 209479848007753
domain: WRITE, depth: 6, timestamp: 209479952011696
domain: WRITE, depth: 4, timestamp: 209480056010395
domain: WRITE, depth: 3, timestamp: 209480160010795
domain: WRITE, depth: 2, timestamp: 209480264010439
domain: WRITE, depth: 4, timestamp: 209481408013529
domain: WRITE, depth: 3, timestamp: 209481512012974
domain: WRITE, depth: 2, timestamp: 209481616010370
domain: WRITE, depth: 4, timestamp: 209483904016003
domain: WRITE, depth: 3, timestamp: 209484008009066
domain: WRITE, depth: 2, timestamp: 209484112009455
domain: WRITE, depth: 4, timestamp: 209486404011894
domain: WRITE, depth: 3, timestamp: 209486508016717
domain: WRITE, depth: 2, timestamp: 209486612009286
domain: WRITE, depth: 4, timestamp: 209488900015500
domain: WRITE, depth: 3, timestamp: 209489004012487
domain: WRITE, depth: 2, timestamp: 209489108014350
domain: WRITE, depth: 4, timestamp: 209491396017867
domain: WRITE, depth: 3, timestamp: 209491500014113
domain: WRITE, depth: 2, timestamp: 209491604010569
domain: WRITE, depth: 4, timestamp: 209493896013704
domain: WRITE, depth: 3, timestamp: 209493996010276
domain: WRITE, depth: 2, timestamp: 209494100012989
domain: WRITE, depth: 4, timestamp: 209496388014682
domain: WRITE, depth: 3, timestamp: 209496492013086
domain: WRITE, depth: 2, timestamp: 209496596011617
domain: WRITE, depth: 4, timestamp: 209498888016693
domain: WRITE, depth: 3, timestamp: 209498992010849
domain: WRITE, depth: 2, timestamp: 209499096010874
domain: WRITE, depth: 4, timestamp: 209501388013899
domain: WRITE, depth: 3, timestamp: 209501492011841
domain: WRITE, depth: 2, timestamp: 209501600010915
domain: WRITE, depth: 4, timestamp: 209503904012359
domain: WRITE, depth: 3, timestamp: 209504008010332
domain: WRITE, depth: 2, timestamp: 209504116011773
domain: WRITE, depth: 4, timestamp: 209506464015824
domain: WRITE, depth: 3, timestamp: 209506568012761
domain: WRITE, depth: 2, timestamp: 209506676014715
domain: WRITE, depth: 4, timestamp: 209508896013369
domain: WRITE, depth: 3, timestamp: 209509004009181
domain: WRITE, depth: 2, timestamp: 209509112012448
domain: WRITE, depth: 4, timestamp: 209511428015305
domain: WRITE, depth: 3, timestamp: 209511532012409
domain: WRITE, depth: 2, timestamp: 209511636012690
domain: WRITE, depth: 4, timestamp: 209513972010722
domain: WRITE, depth: 3, timestamp: 209514080007328
domain: WRITE, depth: 2, timestamp: 209514184010528
domain: WRITE, depth: 4, timestamp: 209516420010224
domain: WRITE, depth: 3, timestamp: 209516524011561
domain: WRITE, depth: 2, timestamp: 209516628011013
domain: WRITE, depth: 4, timestamp: 209518928018289
domain: WRITE, depth: 3, timestamp: 209519036012142
domain: WRITE, depth: 2, timestamp: 209519140012556
domain: WRITE, depth: 4, timestamp: 209521456015261
domain: WRITE, depth: 3, timestamp: 209521560012409
domain: WRITE, depth: 2, timestamp: 209521668010541
domain: WRITE, depth: 4, timestamp: 209523260013097
domain: WRITE, depth: 3, timestamp: 209523368008715
domain: WRITE, depth: 2, timestamp: 209523472011374
domain: WRITE, depth: 4, timestamp: 209523896021760
domain: WRITE, depth: 3, timestamp: 209524004010223
domain: WRITE, depth: 2, timestamp: 209524112007190
domain: WRITE, depth: 4, timestamp: 209526436016438
domain: WRITE, depth: 3, timestamp: 209526544009562
domain: WRITE, depth: 2, timestamp: 209526652012055
domain: WRITE, depth: 4, timestamp: 209528872016990
domain: WRITE, depth: 3, timestamp: 209528980013042
domain: WRITE, depth: 2, timestamp: 209529088010247
domain: WRITE, depth: 4, timestamp: 209531388011960
domain: WRITE, depth: 3, timestamp: 209531496007545
domain: WRITE, depth: 2, timestamp: 209531600010033
domain: WRITE, depth: 4, timestamp: 209533920011190
domain: WRITE, depth: 3, timestamp: 209534024013194
domain: WRITE, depth: 2, timestamp: 209534128013324
domain: WRITE, depth: 4, timestamp: 209536360013652
domain: WRITE, depth: 3, timestamp: 209536468010283
domain: WRITE, depth: 2, timestamp: 209536572010127
domain: WRITE, depth: 4, timestamp: 209538904018771
domain: WRITE, depth: 3, timestamp: 209539012010811
domain: WRITE, depth: 2, timestamp: 209539120013021
domain: WRITE, depth: 4, timestamp: 209541344010121
domain: WRITE, depth: 3, timestamp: 209541448015160
domain: WRITE, depth: 2, timestamp: 209541556006973
domain: WRITE, depth: 4, timestamp: 209543868013839
domain: WRITE, depth: 3, timestamp: 209543972012875
domain: WRITE, depth: 2, timestamp: 209544076014232
domain: WRITE, depth: 4, timestamp: 209546392017015
domain: WRITE, depth: 3, timestamp: 209546496009946
domain: WRITE, depth: 2, timestamp: 209546604008704
domain: WRITE, depth: 4, timestamp: 209548928012333
domain: WRITE, depth: 3, timestamp: 209549032011964
domain: WRITE, depth: 2, timestamp: 209549136009798
domain: WRITE, depth: 4, timestamp: 209551328017509
domain: WRITE, depth: 3, timestamp: 209551432009933
domain: WRITE, depth: 2, timestamp: 209551536011996
domain: WRITE, depth: 4, timestamp: 209553864009993
domain: WRITE, depth: 3, timestamp: 209553972011799
domain: WRITE, depth: 2, timestamp: 209554080014036
domain: WRITE, depth: 4, timestamp: 209556388015836
domain: WRITE, depth: 3, timestamp: 209556492011915
domain: WRITE, depth: 2, timestamp: 209556596012618
domain: WRITE, depth: 4, timestamp: 209558824012628
domain: WRITE, depth: 3, timestamp: 209558928011213
domain: WRITE, depth: 2, timestamp: 209559036011623
domain: WRITE, depth: 4, timestamp: 209561324013968
domain: WRITE, depth: 3, timestamp: 209561428010010
domain: WRITE, depth: 2, timestamp: 209561532011454
domain: WRITE, depth: 4, timestamp: 209563820014939
domain: WRITE, depth: 3, timestamp: 209563924011921
domain: WRITE, depth: 2, timestamp: 209564028012647
domain: WRITE, depth: 4, timestamp: 209566336012748
domain: WRITE, depth: 3, timestamp: 209566440011404
domain: WRITE, depth: 2, timestamp: 209566544012209
domain: WRITE, depth: 4, timestamp: 209568852017672
domain: WRITE, depth: 3, timestamp: 209568956012158
domain: WRITE, depth: 2, timestamp: 209569064007504
domain: WRITE, depth: 4, timestamp: 209571300014708
domain: WRITE, depth: 3, timestamp: 209571404013531
domain: WRITE, depth: 2, timestamp: 209571508014176
domain: WRITE, depth: 4, timestamp: 209573852013427
domain: WRITE, depth: 3, timestamp: 209573960009376
domain: WRITE, depth: 2, timestamp: 209574068008392
domain: WRITE, depth: 4, timestamp: 209576288018087
domain: WRITE, depth: 3, timestamp: 209576396016121
domain: WRITE, depth: 2, timestamp: 209576504015337
domain: WRITE, depth: 4, timestamp: 209578804013606
